Mês,Dia,mean,max,Ano
Jan.,1,6.6833333333333345,25.6,1997-2022
Jan.,2,12.149999999999999,79.0,1997-2022
Jan.,3,12.516666666666666,66.6,1997-2022
Jan.,4,34.49166666666667,132.0,1997-2022
Jan.,5,43.75,135.0,1997-2022
Jan.,6,10.958333333333334,32.3,1997-2022
Jan.,7,17.95,61.0,1997-2022
Jan.,8,21.3,61.0,1997-2022
Jan.,9,22.85833333333333,62.6,1997-2022
Jan.,10,35.74166666666667,128.8,1997-2022
Jan.,11,34.68333333333334,93.4,1997-2022
Jan.,12,11.85,43.8,1997-2022
Jan.,13,14.35,38.4,1997-2022
Jan.,14,23.666666666666668,57.6,1997-2022
Jan.,15,13.741666666666665,44.8,1997-2022
Jan.,16,9.875000000000002,42.2,1997-2022
Jan.,17,8.4,40.0,1997-2022
Jan.,18,40.61666666666667,110.0,1997-2022
Jan.,19,32.68333333333333,105.0,1997-2022
Jan.,20,39.81666666666667,130.6,1997-2022
Jan.,21,37.53333333333334,95.0,1997-2022
Jan.,22,24.575,74.0,1997-2022
Jan.,23,11.325000000000001,33.4,1997-2022
Jan.,24,32.46666666666667,121.9,1997-2022
Jan.,25,42.49999999999999,126.3,1997-2022
Jan.,26,10.450000000000001,37.0,1997-2022
Jan.,27,16.208333333333332,74.0,1997-2022
Jan.,28,34.50833333333333,141.2,1997-2022
Jan.,29,76.25833333333333,250.0,1997-2022
Jan.,30,20.45,45.0,1997-2022
Jan.,31,10.458333333333334,42.8,1997-2022
Fev.,1,22.841666666666665,64.8,1997-2022
Fev.,2,15.008333333333335,66.4,1997-2022
Fev.,3,13.616666666666667,30.0,1997-2022
Fev.,4,23.474999999999998,54.5,1997-2022
Fev.,5,15.908333333333331,46.0,1997-2022
Fev.,6,16.21666666666667,58.0,1997-2022
Fev.,7,11.391666666666666,38.0,1997-2022
Fev.,8,9.025,31.2,1997-2022
Fev.,9,18.925,66.6,1997-2022
Fev.,10,10.991666666666667,39.6,1997-2022
Fev.,11,28.075000000000003,107.8,1997-2022
Fev.,12,11.083333333333334,40.6,1997-2022
Fev.,13,12.000000000000002,33.2,1997-2022
Fev.,14,17.583333333333332,71.0,1997-2022
Fev.,15,26.09166666666667,91.2,1997-2022
Fev.,16,20.616666666666664,62.2,1997-2022
Fev.,17,27.28333333333333,75.0,1997-2022
Fev.,18,23.491666666666664,72.6,1997-2022
Fev.,19,27.325000000000003,93.6,1997-2022
Fev.,20,25.175,78.0,1997-2022
Fev.,21,23.691666666666666,88.0,1997-2022
Fev.,22,12.216666666666667,35.6,1997-2022
Fev.,23,43.408333333333324,91.0,1997-2022
Fev.,24,43.291666666666664,120.3,1997-2022
Fev.,25,23.366666666666664,47.8,1997-2022
Fev.,26,11.616666666666665,33.8,1997-2022
Fev.,27,19.083333333333332,52.0,1997-2022
Fev.,28,19.525000000000002,64.4,1997-2022
Fev.,29,9.091666666666667,34.4,1997-2022
Mar.,1,16.8,45.0,1997-2022
Mar.,2,43.98333333333333,138.0,1997-2022
Mar.,3,20.25,54.0,1997-2022
Mar.,4,20.733333333333334,53.8,1997-2022
