,data,47,311,362,363,364,365,622,720,726,761,883,887,Mês,Ano,Dia,mean,max
9131,2022-01-01,0.0,0.0,23.2,23.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,1,4.0,23.6
9132,2022-01-02,0.0,79.0,17.6,30.2,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,2,11.533333333333333,79.0
9133,2022-01-03,0.0,0.0,28.0,26.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,3,6.033333333333334,28.0
9134,2022-01-04,0.0,0.0,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,4,0.11666666666666665,1.2
9135,2022-01-05,0.0,0.0,20.2,7.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,5,2.4166666666666665,20.2
9136,2022-01-06,0.0,16.0,12.2,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,6,3.6166666666666667,16.0
9137,2022-01-07,0.0,0.0,4.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,7,0.6916666666666668,4.5
9138,2022-01-08,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,8,0.10833333333333334,1.0
9139,2022-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,9,0.0,0.0
9140,2022-01-10,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,10,0.016666666666666666,0.2
9141,2022-01-11,0.0,69.0,76.2,73.6,65.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,11,23.716666666666665,76.2
9142,2022-01-12,0.0,7.0,2.4,6.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,12,1.7333333333333334,7.0
9143,2022-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,13,0.0,0.0
9144,2022-01-14,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,14,0.3833333333333333,4.6
9145,2022-01-15,0.0,0.0,7.6,29.4,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,15,4.3,29.4
9146,2022-01-16,0.0,0.0,13.8,2.2,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,16,2.216666666666667,13.8
9147,2022-01-17,0.0,40.0,8.0,7.2,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,17,5.566666666666666,40.0
9148,2022-01-18,0.0,8.0,6.1,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022,18,2.025,10.2
