DATA,Tipologia de Ocorrência,Regional,Ocorrências
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,1
01/04/2022,Outros,SR 3,2
01/04/2022,Outros,SR 4,1
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,0
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,1
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,0
01/04/2022,Outros,SR 3,0
01/04/2022,Outros,SR 4,0
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,0
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,2
01/04/2022,Outros,SR 3,1
01/04/2022,Outros,SR 4,0
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,1
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,0
01/04/2022,Outros,SR 3,0
01/04/2022,Outros,SR 4,0
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,0
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,0
01/04/2022,Outros,SR 3,0
01/04/2022,Outros,SR 4,0
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,0
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
01/04/2022,Outros,SR 1,1
01/04/2022,Outros,SR 2,3
01/04/2022,Outros,SR 3,4
01/04/2022,Outros,SR 4,3
01/04/2022,Outros,SR 5,1
01/04/2022,Outros,SR 6,3
01/04/2022,Outros,SR 7,1
01/04/2022,Outros,SR 8,1
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,2
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,1
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,0
01/04/2022,Outros,SR 3,0
01/04/2022,Outros,SR 4,0
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,0
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,0
01/04/2022,Outros,SR 3,0
01/04/2022,Outros,SR 4,0
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,0
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,1
01/04/2022,Outros,SR 3,1
01/04/2022,Outros,SR 4,0
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,0
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,0
01/04/2022,Outros,SR 3,0
01/04/2022,Outros,SR 4,0
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,0
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
01/04/2022,Outros,SR 1,0
01/04/2022,Outros,SR 2,0
01/04/2022,Outros,SR 3,0
01/04/2022,Outros,SR 4,0
01/04/2022,Outros,SR 5,0
01/04/2022,Outros,SR 6,0
01/04/2022,Outros,SR 7,0
01/04/2022,Outros,SR 8,0
01/04/2022,Outros,SR 9,0
01/04/2022,Outros,SR 10,0
01/04/2022,Outros,SR 11,0
01/04/2022,Outros,SR 12,0
02/04/2022,Outros,SR 1,0
02/04/2022,Outros,SR 2,0
02/04/2022,Outros,SR 3,0
02/04/2022,Outros,SR 4,1
02/04/2022,Outros,SR 5,0
02/04/2022,Outros,SR 6,2
02/04/2022,Outros,SR 7,0
02/04/2022,Outros,SR 8,0
02/04/2022,Outros,SR 9,0
02/04/2022,Outros,SR 10,0
02/04/2022,Outros,SR 11,0
02/04/2022,Outros,SR 12,0
02/04/2022,Outros,SR 1,0
02/04/2022,Outros,SR 2,0
02/04/2022,Outros,SR 3,0
02/04/2022,Outros,SR 4,0
02/04/2022,Outros,SR 5,0
02/04/2022,Outros,SR 6,0
02/04/2022,Outros,SR 7,0
02/04/2022,Outros,SR 8,0
02/04/2022,Outros,SR 9,0
02/04/2022,Outros,SR 10,0
02/04/2022,Outros,SR 11,0
02/04/2022,Outros,SR 12,0
02/04/2022,Outros,SR 1,1
02/04/2022,Outros,SR 2,0
02/04/2022,Outros,SR 3,0
02/04/2022,Outros,SR 4,2
02/04/2022,Outros,SR 5,0
02/04/2022,Outros,SR 6,0
02/04/2022,Outros,SR 7,0
02/04/2022,Outros,SR 8,0
02/04/2022,Outros,SR 9,0
02/04/2022,Outros,SR 10,0
02/04/2022,Outros,SR 11,0
02/04/2022,Outros,SR 12,0
02/04/2022,Outros,SR 1,0
02/04/2022,Outros,SR 2,0
02/04/2022,Outros,SR 3,0
02/04/2022,Outros,SR 4,0
02/04/2022,Outros,SR 5,0
02/04/2022,Outros,SR 6,0
02/04/2022,Outros,SR 7,0
02/04/2022,Outros,SR 8,0
02/04/2022,Outros,SR 9,0
02/04/2022,Outros,SR 10,0
02/04/2022,Outros,SR 11,0
02/04/2022,Outros,SR 12,0
02/04/2022,Outros,SR 1,0
02/04/2022,Outros,SR 2,0
02/04/2022,Outros,SR 3,0
02/04/2022,Outros,SR 4,0
02/04/2022,Outros,SR 5,0
02/04/2022,Outros,SR 6,0
02/04/2022,Outros,SR 7,0
02/04/2022,Outros,SR 8,0
02/04/2022,Outros,SR 9,0
02/04/2022,Outros,SR 10,0
02/04/2022,Outros,SR 11,0
02/04/2022,Outros,SR 12,0
02/04/2022,Outros,SR 1,3
02/04/2022,Outros,SR 2,1
02/04/2022,Outros,SR 3,2
02/04/2022,Outros,SR 4,0
02/04/2022,Outros,SR 5,0
02/04/2022,Outros,SR 6,1
02/04/2022,Outros,SR 7,0
02/04/2022,Outros,SR 8,1
02/04/2022,Outros,SR 9,0
02/04/2022,Outros,SR 10,0
02/04/2022,Outros,SR 11,0
02/04/2022,Outros,SR 12,1
02/04/2022,Outros,SR 1,0
02/04/2022,Outros,SR 2,0
02/04/2022,Outros,SR 3,0
02/04/2022,Outros,SR 4,0
02/04/2022,Outros,SR 5,0
02/04/2022,Outros,SR 6,0
02/04/2022,Outros,SR 7,0
02/04/2022,Outros,SR 8,0
02/04/2022,Outros,SR 9,0
02/04/2022,Outros,SR 10,0
02/04/2022,Outros,SR 11,0
02/04/2022,Outros,SR 12,0
02/04/2022,Outros,SR 1,0
