data,47,311,362,363,364,365,622,720,726,761,883,887,Mês,Ano,Dia,mean,max
01/03/2022,0.0,1.4,0.7,6.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,1,0.8583333333333333,6.8
02/03/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,2,0.0,0.0
03/03/2022,0.0,0.0,0.0,4.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,3,0.38333333333333336,4.4
04/03/2022,0.0,3.4,8.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,4,1.5,8.8
05/03/2022,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,5,0.06666666666666667,0.8
06/03/2022,0.0,6.0,31.7,25.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,6,8.658333333333333,41.2
07/03/2022,0.0,41.0,53.7,33.6,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,7,12.958333333333334,53.7
08/03/2022,0.0,1.8,2.6,8.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,8,1.1833333333333333,8.6
09/03/2022,0.0,4.0,3.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,9,0.7416666666666667,4.0
10/03/2022,0.0,6.8,1.2,8.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,10,1.4333333333333333,8.0
11/03/2022,0.0,49.0,81.2,77.8,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,11,21.849999999999998,81.2
12/03/2022,0.0,20.0,26.0,9.8,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,12,8.133333333333333,41.8
13/03/2022,0.0,0.0,4.2,24.2,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,13,3.2999999999999994,24.2
14/03/2022,0.0,10.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,14,0.9416666666666665,10.0
15/03/2022,0.0,8.6,10.4,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,15,4.583333333333333,23.0
16/03/2022,0.0,33.0,32.0,21.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,16,7.508333333333333,33.0
17/03/2022,0.0,27.2,6.6,9.2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,17,6.083333333333333,30.0
18/03/2022,0.0,8.4,2.8,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,18,1.2,8.4
19/03/2022,0.0,16.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,19,4.083333333333333,20.0
