bairro,regiao_administrativa,Regional
Paupina,Secretaria Executiva Regional 6,SR 6
Passaré,Secretaria Executiva Regional 8,SR 8
Boa Vista,Secretaria Executiva Regional 8,SR 8
Antônio Bezerra,Secretaria Executiva Regional 3,SR 3
Carlito Pamplona,Secretaria Executiva Regional 1,SR 1
Bonsucesso,Secretaria Executiva Regional 5,SR 5
Dias Macedo,Secretaria Executiva Regional 8,SR 8
Edson Queiroz,Secretaria Executiva Regional 7,SR 7
Quintino Cunha,Secretaria Executiva Regional 3,SR 3
José Bonifácio,Secretaria Executiva Regional 4,SR 4
Vila Ellery,Secretaria Executiva Regional 3,SR 3
Barroso,Secretaria Executiva Regional 9,SR 9
Amadeu Furtado,Secretaria Executiva Regional 3,SR 3
Conjunto Esperança,Secretaria Executiva Regional 10,SR 10
Farias Brito,Secretaria Executiva Regional 3,SR 3
Cajazeiras,Secretaria Executiva Regional 9,SR 9
Parque Genibaú,Secretaria Executiva Regional 11,SR 11
Praia de Iracema,Secretaria Executiva Regional 12,SR 12
Aerolândia,Secretaria Executiva Regional 6,SR 6
Barra do Ceará,Secretaria Executiva Regional 1,SR 1
Alvaro Weyne,Secretaria Executiva Regional 1,SR 1
Parquelândia,Secretaria Executiva Regional 3,SR 3
Moura Brasil,Secretaria Executiva Regional 12,SR 12
Bom Futuro,Secretaria Executiva Regional 4,SR 4
Damas,Secretaria Executiva Regional 4,SR 4
Mucuripe,Secretaria Executiva Regional 2,SR 2
Parque Araxá,Secretaria Executiva Regional 3,SR 3
Joaquim Távora,Secretaria Executiva Regional 2,SR 2
Jardim Cearense,Secretaria Executiva Regional 10,SR 10
Novo Mondubim,Secretaria Executiva Regional 10,SR 10
Itaperi,Secretaria Executiva Regional 8,SR 8
Parque Manibura,Secretaria Executiva Regional 6,SR 6
Olavo Oliveira,Secretaria Executiva Regional 3,SR 3
Ancuri,Secretaria Executiva Regional 9,SR 9
Aldeota,Secretaria Executiva Regional 2,SR 2
Dionísio Torres,Secretaria Executiva Regional 2,SR 2
Benfica,Secretaria Executiva Regional 4,SR 4
Jardim América,Secretaria Executiva Regional 4,SR 4
Centro,Secretaria Executiva Regional 12,SR 12
Jardim Guanabara,Secretaria Executiva Regional 1,SR 1
Cocó,Secretaria Executiva Regional 7,SR 7
Aracapé,Secretaria Executiva Regional 10,SR 10
Vila Manuel Sátiro,Secretaria Executiva Regional 10,SR 10
Cristo Redentor,Secretaria Executiva Regional 1,SR 1
Rodolfo Teófilo,Secretaria Executiva Regional 3,SR 3
Floresta,Secretaria Executiva Regional 1,SR 1
Fátima,Secretaria Executiva Regional 4,SR 4
Panamericano,Secretaria Executiva Regional 11,SR 11
Serrinha,Secretaria Executiva Regional 8,SR 8
Jacarecanga,Secretaria Executiva Regional 1,SR 1
Pedras,Secretaria Executiva Regional 9,SR 9
Parreão,Secretaria Executiva Regional 4,SR 4
Jardim Iracema,Secretaria Executiva Regional 1,SR 1
Alto da Balança,Secretaria Executiva Regional 6,SR 6
Meireles,Secretaria Executiva Regional 2,SR 2
Monte Castelo,Secretaria Executiva Regional 3,SR 3
Papicu,Secretaria Executiva Regional 2,SR 2
Conjunto Ceará 1,Secretaria Executiva Regional 11,SR 11
Presidente Kennedy,Secretaria Executiva Regional 3,SR 3
Cambeba,Secretaria Executiva Regional 6,SR 6
Coaçu,Secretaria Executiva Regional 6,SR 6
Dom Lustosa,Secretaria Executiva Regional 11,SR 11
Vila Peri,Secretaria Executiva Regional 4,SR 4
Autran Nunes,Secretaria Executiva Regional 11,SR 11
São João do Tauape,Secretaria Executiva Regional 2,SR 2
Varjota,Secretaria Executiva Regional 2,SR 2
Vicente Pinzon,Secretaria Executiva Regional 2,SR 2
São Bento,Secretaria Executiva Regional 6,SR 6
Vila Velha,Secretaria Executiva Regional 1,SR 1
Jóquei Clube,Secretaria Executiva Regional 11,SR 11
Henrique Jorge,Secretaria Executiva Regional 11,SR 11
José de Alencar,Secretaria Executiva Regional 6,SR 6
Luciano Cavalcante,Secretaria Executiva Regional 7,SR 7
João XXIII,Secretaria Executiva Regional 11,SR 11
Curió,Secretaria Executiva Regional 6,SR 6
Cidade dos Funcionários,Secretaria Executiva Regional 6,SR 6
Parque Santa Maria,Secretaria Executiva Regional 9,SR 9
Padre Andrade,Secretaria Executiva Regional 3,SR 3
Guajerú,Secretaria Executiva Regional 6,SR 6
Guararapes,Secretaria Executiva Regional 7,SR 7
Dendê,Secretaria Executiva Regional 8,SR 8
Jardim das Oliveiras,Secretaria Executiva Regional 6,SR 6
Pirambu,Secretaria Executiva Regional 1,SR 1
Itaoca,Secretaria Executiva Regional 4,SR 4
Jangurussu,Secretaria Executiva Regional 9,SR 9
Palmeiras,Secretaria Executiva Regional 9,SR 9
Parque Santa Rosa,Secretaria Executiva Regional 10,SR 10
Lagoa Redonda,Secretaria Executiva Regional 6,SR 6
Parque Presidente Vargas,Secretaria Executiva Regional 10,SR 10
Sapiranga,Secretaria Executiva Regional 7,SR 7
Messejana,Secretaria Executiva Regional 6,SR 6
Parque Iracema,Secretaria Executiva Regional 6,SR 6
Sabiaguaba,Secretaria Executiva Regional 7,SR 7
Bom Jardim,Secretaria Executiva Regional 5,SR 5
Salinas,Secretaria Executiva Regional 7,SR 7
Canindezinho,Secretaria Executiva Regional 10,SR 10
Conjunto Ceará 2,Secretaria Executiva Regional 11,SR 11
Granja Lisboa,Secretaria Executiva Regional 5,SR 5
Bela Vista,Secretaria Executiva Regional 11,SR 11
Granja Portugal,Secretaria Executiva Regional 5,SR 5
Maraponga,Secretaria Executiva Regional 10,SR 10
Praia do Futuro I,Secretaria Executiva Regional 7,SR 7
Mondubim,Secretaria Executiva Regional 10,SR 10
