DATA,Tipologia de Ocorrência,Regional,Ocorrências
01/04/2022,Alagamento,SR 1,0
01/04/2022,Alagamento,SR 2,1
01/04/2022,Alagamento,SR 3,2
01/04/2022,Alagamento,SR 4,1
01/04/2022,Alagamento,SR 5,0
01/04/2022,Alagamento,SR 6,0
01/04/2022,Alagamento,SR 7,0
01/04/2022,Alagamento,SR 8,0
01/04/2022,Alagamento,SR 9,1
01/04/2022,Alagamento,SR 10,0
01/04/2022,Alagamento,SR 11,0
01/04/2022,Alagamento,SR 12,0
01/04/2022,Incêndio,SR 1,0
01/04/2022,Incêndio,SR 2,0
01/04/2022,Incêndio,SR 3,0
01/04/2022,Incêndio,SR 4,0
01/04/2022,Incêndio,SR 5,0
01/04/2022,Incêndio,SR 6,0
01/04/2022,Incêndio,SR 7,0
01/04/2022,Incêndio,SR 8,0
01/04/2022,Incêndio,SR 9,0
01/04/2022,Incêndio,SR 10,0
01/04/2022,Incêndio,SR 11,0
01/04/2022,Incêndio,SR 12,0
01/04/2022,Desabamento,SR 1,0
01/04/2022,Desabamento,SR 2,2
01/04/2022,Desabamento,SR 3,1
01/04/2022,Desabamento,SR 4,0
01/04/2022,Desabamento,SR 5,0
01/04/2022,Desabamento,SR 6,1
01/04/2022,Desabamento,SR 7,0
01/04/2022,Desabamento,SR 8,0
01/04/2022,Desabamento,SR 9,0
01/04/2022,Desabamento,SR 10,0
01/04/2022,Desabamento,SR 11,0
01/04/2022,Desabamento,SR 12,0
01/04/2022,Deslizamento,SR 1,0
01/04/2022,Deslizamento,SR 2,0
01/04/2022,Deslizamento,SR 3,0
01/04/2022,Deslizamento,SR 4,0
01/04/2022,Deslizamento,SR 5,0
01/04/2022,Deslizamento,SR 6,0
01/04/2022,Deslizamento,SR 7,0
01/04/2022,Deslizamento,SR 8,0
01/04/2022,Deslizamento,SR 9,0
01/04/2022,Deslizamento,SR 10,0
01/04/2022,Deslizamento,SR 11,0
01/04/2022,Deslizamento,SR 12,0
01/04/2022,Risco de Alagamento,SR 1,0
01/04/2022,Risco de Alagamento,SR 2,0
01/04/2022,Risco de Alagamento,SR 3,0
01/04/2022,Risco de Alagamento,SR 4,0
01/04/2022,Risco de Alagamento,SR 5,0
01/04/2022,Risco de Alagamento,SR 6,0
01/04/2022,Risco de Alagamento,SR 7,0
01/04/2022,Risco de Alagamento,SR 8,0
01/04/2022,Risco de Alagamento,SR 9,0
01/04/2022,Risco de Alagamento,SR 10,0
01/04/2022,Risco de Alagamento,SR 11,0
01/04/2022,Risco de Alagamento,SR 12,0
01/04/2022,Risco de Desabamento,SR 1,1
01/04/2022,Risco de Desabamento,SR 2,3
01/04/2022,Risco de Desabamento,SR 3,4
01/04/2022,Risco de Desabamento,SR 4,3
01/04/2022,Risco de Desabamento,SR 5,1
01/04/2022,Risco de Desabamento,SR 6,3
01/04/2022,Risco de Desabamento,SR 7,1
