codigo,nome,longitude,latitude
47,FUNCEME,-38.566694444444,-3.733
311,FUND.MA.NILVA(AGUA FRIA),-38.456611111111,-3.7911388888889
362,CASTELAO,-38.548861111111,-3.8154166666667
363,PICI,-38.583305555556,-3.75
364,MESSEJANA,-38.478027777778,-3.8338055555556
365,AEROPORTO(FORTALEZA),-38.516666666667,-3.7666666666667
622,PARQUE ECOLOGICO DO COCO,-38.4833,-3.733
720,MONDUBIM,-38.579166666667,-3.8163888888889
726,PARQUELANDIA,-38.5666666667,-3.73333333333
761,DEFESA CIVIL,-38.552555555556,-3.7430833333333
883,CACA E PESCA,-38.439194444444,-3.7698611111111
887,DEFESA CIVIL DE FORTALEZA,-38.537638888889,-3.7234444444444
